dataset,coarsening_method,coarsening_ratio,exp_setup,extra_nodes,cluster_node,hidden,num_layers1,num_layers2,epochs1,epochs2,batch_size,lr,best_test_loss,best_test_acc
ENZYMES,algebraic_JC,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.01,4.6365638256073,0.22727272727272727
ENZYMES,algebraic_JC,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.1,13.831665992736816,0.3181818181818182
ENZYMES,algebraic_JC,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.001,1.831379234790802,0.13636363636363635
ENZYMES,algebraic_JC,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.01,2.0239147543907166,0.22727272727272727
ENZYMES,algebraic_JC,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.1,4.864273309707642,0.22727272727272727
ENZYMES,algebraic_JC,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.001,26.276301911274594,0.0
ENZYMES,algebraic_JC,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.01,110.94225794474283,0.0
ENZYMES,algebraic_JC,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.1,988.6344836425782,0.0
ENZYMES,algebraic_JC,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.001,1.8066287994384767,0.3333333333333333
ENZYMES,algebraic_JC,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.01,18.779538726806642,0.0
ENZYMES,algebraic_JC,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.1,392.31653747558596,0.0
ENZYMES,algebraic_JC,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.001,1.7995441436767579,0.18181818181818182
ENZYMES,algebraic_JC,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.01,12.053217124938964,0.09090909090909091
ENZYMES,algebraic_JC,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.1,202.09375,0.13636363636363635
ENZYMES,algebraic_JC,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.001,1.7794262766838074,0.22727272727272727
ENZYMES,algebraic_JC,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.01,1.7912709712982178,0.13636363636363635
ENZYMES,algebraic_JC,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.1,22.76224136352539,0.2727272727272727
ENZYMES,algebraic_JC,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.001,17.56471915785107,0.0
ENZYMES,algebraic_JC,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.01,238.32926080226898,0.0
ENZYMES,algebraic_JC,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.1,2403.5420865885417,0.0
ENZYMES,algebraic_JC,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.001,1.780275559425354,0.3333333333333333
ENZYMES,algebraic_JC,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.01,50.2166467666626,0.3333333333333333
ENZYMES,algebraic_JC,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.1,371.3552185058594,0.16666666666666666
ENZYMES,algebraic_JC,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.001,1.7824587106704712,0.18181818181818182
ENZYMES,algebraic_JC,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.01,6.447551727294922,0.22727272727272727
ENZYMES,algebraic_JC,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.1,237.81011657714845,0.045454545454545456
ENZYMES,algebraic_JC,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.001,1.8637575507164001,0.13636363636363635
ENZYMES,algebraic_JC,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.01,1.833686888217926,0.22727272727272727
ENZYMES,algebraic_JC,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.1,78.40289306640625,0.045454545454545456
ENZYMES,affinity_GS,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.001,5.128107405106227,0.0
ENZYMES,affinity_GS,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.01,81.72097597527163,1.0
ENZYMES,affinity_GS,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.1,278.291465250651,0.0
ENZYMES,affinity_GS,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.001,1.776987373828888,0.3333333333333333
ENZYMES,affinity_GS,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.01,9.091106748580932,0.0
ENZYMES,affinity_GS,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.1,15.53529109954834,0.0
ENZYMES,affinity_GS,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.001,1.8031338930130005,0.13636363636363635
ENZYMES,affinity_GS,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.01,4.343749141693115,0.22727272727272727
ENZYMES,affinity_GS,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.1,11.568306350708008,0.18181818181818182
ENZYMES,affinity_GS,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.001,1.7914384603500366,0.22727272727272727
ENZYMES,affinity_GS,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.01,2.4434947967529297,0.13636363636363635
ENZYMES,affinity_GS,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.1,10.498059749603271,0.2727272727272727
ENZYMES,affinity_GS,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.001,31.14993997812271,0.5
ENZYMES,affinity_GS,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.01,173.79478636592626,0.0
ENZYMES,affinity_GS,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.1,997.7058119710287,0.5
ENZYMES,affinity_GS,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.001,1.8875526189804077,0.16666666666666666
ENZYMES,affinity_GS,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.01,27.976909255981447,0.16666666666666666
ENZYMES,affinity_GS,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.1,200.20767822265626,0.0
ENZYMES,affinity_GS,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.001,1.7812042474746703,0.09090909090909091
ENZYMES,affinity_GS,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.01,6.673832035064697,0.09090909090909091
ENZYMES,affinity_GS,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.1,107.37843170166016,0.22727272727272727
ENZYMES,affinity_GS,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.001,1.7568477392196655,0.22727272727272727
ENZYMES,affinity_GS,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.01,2.107571601867676,0.13636363636363635
ENZYMES,affinity_GS,0.5,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.1,57.96309852600098,0.18181818181818182
ENZYMES,affinity_GS,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.001,47.074497907981275,0.0
ENZYMES,affinity_GS,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.01,214.2039026896159,0.0
ENZYMES,affinity_GS,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.1,1999.8363407389322,0.0
ENZYMES,affinity_GS,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.001,1.8023474216461182,0.16666666666666666
ENZYMES,affinity_GS,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.01,23.110126972198486,0.16666666666666666
ENZYMES,affinity_GS,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.1,774.4623107910156,0.0
ENZYMES,affinity_GS,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.001,1.8110954284667968,0.22727272727272727
ENZYMES,affinity_GS,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.01,4.020829057693481,0.13636363636363635
ENZYMES,affinity_GS,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,32,0.1,200.66322631835936,0.18181818181818182
ENZYMES,affinity_GS,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.001,1.766790747642517,0.22727272727272727
ENZYMES,affinity_GS,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.01,1.7861266136169434,0.18181818181818182
ENZYMES,affinity_GS,0.9,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,128,0.1,58.71883583068848,0.09090909090909091
ENZYMES,kron,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.001,6.1458041938145955,0.0
ENZYMES,kron,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.01,44.35566556294759,0.0
ENZYMES,kron,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,2,0.1,196.8156391398112,0.5
ENZYMES,kron,0.1,Gc_train_2_Gs_infer,True,False,512,2,2,100,300,16,0.001,1.829568898677826,0.16666666666666666
