dataset ,coarsening_method       ,coarsening_ratio ,experiment ,exp_setup           ,extra_nodes ,cluster_node ,community_used ,hidden ,runs ,num_layers ,batch_size ,lr     ,ave_acc                                      ,ave_time              ,top_10_acc                                   ,best_acc           ,top_10_loss                                      ,best_loss
cora,variation_neighborhoods,0.1,fixed,Gs_train_2_Gs_infer,False,True,False,512,5,2,128,0.01,0.8033999999999999 +/- 0.008014985963805525,0.006373310089111328,0.8034000000000001 +/- 0.008014985963805525, 0.815, 0.22471095323562623 +/- 0.0175745508912235, 0.20755145947138467
cora,variation_neighborhoods,0.1,fixed,Gs_train_2_Gs_infer,False,True,False,512,3,2,1,0.01,0.18133333333333335 +/- 0.04099051380773633,0.43222951889038086,0.18133333333333335 +/- 0.04099051380773633, 0.226, 0.00792860366680004 +/- 0.00013514308982025698, 0.007782990137736002
cora,variation_neighborhoods,0.1,fixed,Gs_train_2_Gs_infer,False,True,False,512,3,2,128,0.01,0.18300000000000002 +/- 0.018184242262647803,0.006436347961425781,0.18300000000000002 +/- 0.018184242262647803, 0.207, 0.5968763563368055 +/- 0.009514295343446385, 0.584298849105835
cora,variation_neighborhoods,0.1,fixed,Gs_train_2_Gs_infer,False,True,False,512,3,2,1,0.01,0.24866666666666667 +/- 0.03395421754199158,0.3420412540435791,0.24866666666666667 +/- 0.03395421754199158, 0.296, 0.00766148637842249 +/- 0.00028388937943735226, 0.007261765797932943
cora,variation_neighborhoods,0.1,fixed,Gs_train_2_Gs_infer,False,True,False,512,3,2,128,0.01,0.18166666666666664 +/- 0.033638602164114295,0.006812651952107747,0.18166666666666667 +/- 0.033638602164114295, 0.213, 0.620830257733663 +/- 0.04225817836175023, 0.5880535443623861
cora,variation_neighborhoods,0.1,fixed,Gc_train_2_Gs_infer,False,True,False,512,1,2,128,0.01,0.095 +/- 0.0,0.0083465576171875,0.095 +/- 0.0, 0.095, 3.0789241790771484 +/- 0.0, 3.0789241790771484
cora,variation_neighborhoods,0.1,fixed,Gc_train_2_Gs_infer,True,False,False,512,1,2,128,0.01,0.094 +/- 0.0,0.00734257698059082,0.094 +/- 0.0, 0.094, 2.282954216003418 +/- 0.0, 2.282954216003418
cora,variation_neighborhoods,0.1,fixed,Gs_train_2_Gs_infer,False,True,False,512,1,2,128,0.01,0.535 +/- 0.0,0.00905919075012207,0.535 +/- 0.0, 0.535, 1.7377136945724487 +/- 0.0, 1.7377136945724487
cora,variation_neighborhoods,0.1,fixed,Gs_train_2_Gs_infer,True,False,False,512,1,2,128,0.01,0.792 +/- 0.0,0.0075299739837646484,0.792 +/- 0.0, 0.792, 0.7982773780822754 +/- 0.0, 0.7982773780822754
cora,variation_neighborhoods,0.1,fixed,Gc_train_2_Gs_train,False,True,False,512,1,2,128,0.01,0.615 +/- 0.0,0.007345914840698242,0.615 +/- 0.0, 0.615, 1.38129460811615 +/- 0.0, 1.38129460811615
cora,variation_neighborhoods,0.1,fixed,Gc_train_2_Gs_train,True,False,False,512,1,2,128,0.01,0.53 +/- 0.0,0.008349418640136719,0.53 +/- 0.0, 0.53, 1.3570866584777832 +/- 0.0, 1.3570866584777832
cora,variation_neighborhoods,0.1,fixed,Gc_train_2_Gs_infer,False,True,False,512,1,2,128,0.01,0.094 +/- 0.0,0.008569002151489258,0.094 +/- 0.0, 0.094, 3.0068459510803223 +/- 0.0, 3.0068459510803223
cora,variation_neighborhoods,0.1,fixed,Gc_train_2_Gs_infer,True,False,False,512,1,2,128,0.01,0.094 +/- 0.0,0.008530378341674805,0.094 +/- 0.0, 0.094, 2.2142860889434814 +/- 0.0, 2.2142860889434814
cora,variation_neighborhoods,0.1,fixed,Gs_train_2_Gs_infer,False,True,False,512,1,2,1,0.01,0.194 +/- 0.0,1.3481864929199219,0.194 +/- 0.0, 0.194, 1.8410522937774658 +/- 0.0, 1.8410522937774658
