dataset ,coarsening_method       ,coarsening_ratio ,experiment ,exp_setup           ,extra_nodes ,cluster_node ,community_used ,hidden ,runs ,num_layers ,batch_size ,lr     ,ave_acc                                      ,ave_time              ,top_10_acc                                   ,best_acc           ,top_10_loss                                      ,best_loss
cora    ,variation_neighborhoods ,             0.1 ,fixed      ,Gc_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   1 ,         2 ,       128 ,0.001  ,0.577 +/- 0.0                                ,0.014570236206054688  ,0.577 +/- 0.0                                ,0.577              ,6.59633191426595 +/- 0.0                         ,6.59633191426595
cora    ,variation_neighborhoods ,             0.1 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   1 ,         2 ,       128 ,0.0001 ,0.785 +/- 0.0                                ,0.007466316223144531  ,0.785 +/- 0.0                                ,0.785              ,0.21210360527038574 +/- 0.0                      ,0.21210360527038574
cora    ,variation_neighborhoods ,             0.1 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   1 ,         2 ,       128 ,0.001  ,0.786 +/- 0.0                                ,0.007633209228515625  ,0.786 +/- 0.0                                ,0.786              ,0.2013084888458252 +/- 0.0                       ,0.2013084888458252
cora    ,variation_edges         ,             0.5 ,fixed      ,Gc_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   1 ,         2 ,       128 ,0.01   ,0.501 +/- 0.0                                ,0.027712345123291016  ,0.501 +/- 0.0                                ,0.501              ,1.1896047592163086 +/- 0.0                       ,1.1896047592163086
cora    ,variation_neighborhoods ,             0.5 ,fixed      ,Gc_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   1 ,         2 ,       128 ,0.01   ,0.79 +/- 0.0                                 ,0.465623140335083     ,0.79 +/- 0.0                                 ,0.79               ,0.061969534917311234 +/- 0.0                     ,0.061969534917311234
cora    ,variation_neighborhoods ,             0.5 ,fixed      ,Gc_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   1 ,         2 ,       128 ,0.01   ,0.789 +/- 0.0                                ,0.27816247940063477   ,0.789 +/- 0.0                                ,0.789              ,0.09076411615718495 +/- 0.0                      ,0.09076411615718495
cora    ,variation_neighborhoods ,             0.5 ,fixed      ,Gc_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   1 ,         2 ,       128 ,0.01   ,0.774 +/- 0.0                                ,0.24455904960632324   ,0.774 +/- 0.0                                ,0.774              ,0.06707629290494052 +/- 0.0                      ,0.06707629290494052
cora    ,variation_neighborhoods ,             0.5 ,fixed      ,Gc_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   1 ,         2 ,       128 ,0.01   ,0.743 +/- 0.0                                ,0.2380051612854004    ,0.743 +/- 0.0                                ,0.743              ,0.06955588947642934 +/- 0.0                      ,0.06955588947642934
cora    ,variation_neighborhoods ,             0.5 ,fixed      ,Gc_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   1 ,         2 ,       128 ,0.01   ,0.76 +/- 0.0                                 ,0.10178613662719727   ,0.76 +/- 0.0                                 ,0.76               ,0.07097122885964134 +/- 0.0                      ,0.07097122885964134
cora    ,variation_neighborhoods ,             0.5 ,fixed      ,Gs_train_2_Gs_infer ,False       ,True         ,False          ,   512 ,   1 ,         2 ,       128 ,0.01   ,0.817 +/- 0.0                                ,0.3308577537536621    ,0.817 +/- 0.0                                ,0.817              ,0.06098852374336936 +/- 0.0                      ,0.06098852374336936


