dataset ,coarsening_method       ,coarsening_ratio ,exp_setup           ,extra_nodes ,cluster_node ,hidden ,num_layers1 ,num_layers2 ,epochs1 ,epochs2 ,batch_size ,lr     ,best_test_loss             ,best_test_acc
AIDS    ,variation_neighborhoods ,             0.9 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,         2 ,0.001  ,      12.723213943004609   ,0.0
AIDS    ,variation_neighborhoods ,             0.9 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,         2 ,0.01   ,     234.5471025390625     ,1.0
AIDS    ,variation_neighborhoods ,             0.9 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,         2 ,0.1    ,     218.84495642089843    ,0.5
AIDS    ,variation_neighborhoods ,             0.9 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,        16 ,0.001  ,       0.5863999603316188  ,1.0
AIDS    ,variation_neighborhoods ,             0.9 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,        16 ,0.01   ,      46.52637133002281    ,0.75
AIDS    ,variation_neighborhoods ,             0.9 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,        16 ,0.1    ,     195.42120850086212    ,1.0
AIDS    ,variation_neighborhoods ,             0.9 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,        32 ,0.001  ,       0.6363849062472582  ,0.85
AIDS    ,variation_neighborhoods ,             0.9 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,        32 ,0.01   ,       5.153614401817322   ,0.8
AIDS    ,variation_neighborhoods ,             0.9 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,        32 ,0.1    ,       0.5097528174519539  ,0.7
AIDS    ,variation_neighborhoods ,             0.9 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,       128 ,0.001  ,       0.37175989151000977 ,0.8448275862068966
AIDS    ,variation_neighborhoods ,             0.9 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,       128 ,0.01   ,       0.45027411729097366 ,0.8706896551724138
AIDS    ,variation_neighborhoods ,             0.9 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,       128 ,0.1    ,      69.44779014587402    ,0.8620689655172413
AIDS    ,algebraic_JC            ,             0.1 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,         2 ,0.001  ,       5.707586629867554   ,0.5
AIDS    ,algebraic_JC            ,             0.1 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,         2 ,0.01   ,      93.17379870605468    ,1.0
AIDS    ,algebraic_JC            ,             0.1 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,         2 ,0.1    ,     172.54535607910157    ,0.5
AIDS    ,algebraic_JC            ,             0.1 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,        16 ,0.001  ,       1.26967623832752    ,0.75
AIDS    ,algebraic_JC            ,             0.1 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,        16 ,0.01   ,       1.8952056159400854  ,0.75
AIDS    ,algebraic_JC            ,             0.1 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,        16 ,0.1    ,       9.142433986067772   ,0.75
AIDS    ,algebraic_JC            ,             0.1 ,Gc_train_2_Gs_infer ,False       ,True         ,   512 ,          2 ,          2 ,    100 ,    300 ,        32 ,0.001  ,       2.806467678397894   ,0.75
