dataset,hidden,runs,num_layers,lr,avg_time,top_10_loss,best_loss
chameleon,512,20,2,0.01,0.012350201606750488,0.540956159445837 +/- 0.005858237027243255,0.5330691531668611
squirrel,512,20,2,0.01,0.007388401031494141,0.6430601064015994 +/- 0.0039053226274282896,0.636423675438753
crocodile,512,20,2,0.01,0.006906056404113769,0.37919140183124644 +/- 0.004369800428293165,0.37281811158864897
