dataset,coarsening_method,coarsening_ratio,experiment,exp_setup,extra_nodes,cluster_node,hidden,runs,num_layers,batch_size,lr,ave_acc,ave_time,top_10_acc,best_acc,top_10_loss,best_loss
Physics,variation_neighborhoods,0.1,few,Gc_train_2_Gs_infer,False,True,512,5,2,128,0.01,0.7831493733336966 +/- 0.028689149032814967,0.2911720275878906,0.7831493733336966 +/- 0.028689149032814967, 0.8255455338958394, 0.6737160717999493 +/- 0.19374077154547437, 0.3108634948730469
Physics,variation_neighborhoods,0.3,few,Gc_train_2_Gs_infer,False,True,512,5,2,128,0.01,0.8771005899962218 +/- 0.019858815212065794,0.41681561470031736,0.8771005899962218 +/- 0.019858815212065794, 0.9017932397477257, 0.13395299087336035 +/- 0.011262188373725134, 0.11696523501549239
Physics,variation_neighborhoods,0.3,random,Gc_train_2_Gs_infer,False,True,512,5,2,128,0.01,0.9103286997696822 +/- 0.011168745325094449,0.3481929302215576,0.910328699769682 +/- 0.011168745325094449, 0.930834892422825, 0.09031115520147628 +/- 0.013675747727692407, 0.0674522070237148
Physics,variation_neighborhoods,0.1,random,Gc_train_2_Gs_infer,False,True,512,5,2,128,0.01,0.8305029146092497 +/- 0.04846756089048008,0.28778228759765623,0.8305029146092497 +/- 0.04846756089048008, 0.8877085162423178, 0.5220234270449038 +/- 0.1473515301692974, 0.34194663718894674
